FOXA1	CARM1
FOXA1	TFF3
ELOC	HIF1A
CERT1	PPM1L
MAPK3	SHC1
EPOR	RAPGEF1
BDNF	GRIN2B
DCC	PTK2
PRKACG	RELA
PPL	EVPL
EIF2S1	EIF2S2
BGLAP	RB1
XPC	SUMO1
RHOC	MYH14
RAP1A	YWHAB
PINK1	PRKN
SSR3	SSR4
GRIN1	EFNB2
PARP1	XPC
CHRNA4	CHRNB2
PHB	AFG3L2
DNAL4	NGF
TRAF6	MYD88
KRAS	MAP2K1
DEK	CEBPA
APEX1	NTHL1
SIPA1L1	DLG4
PLCG1	NTF4
PIKFYVE	VAC14
BNIP1	STX18
CTNNB1	TLE3
ANGPT1	PIK3CB
SOX2	TSC22D1
CD4	IL16
IL7R	IL7
ROCK2	VEGFA
CAPZB	ACTR1A
DNM2	AP1S2
DLL1	MECP2
HPS1	GDI2
NRG2	MATK
RAB12	CHM
TAX1BP3	RTKN
TPX2	HMMR
RPA2	POLK
PIK3R4	DYNLL1
FBXW7	NOTCH1
NGEF	RHOA
ADRA2A	GNG2
MET	GRB2
ASNS	CEBPB
FYB1	CD47
GRIN2D	GRIN2C
HLA-C	TYROBP
PLXNA4	RAC1
BTC	ERBB2
PIK3CA	KL
CSF2RB	CSF2RA
GRIA2	GRIA3
CUL3	CCDC22
RNF2	PCGF6
VWF	TLN1
FANCI	RPA3
CHEK2	NBN
ANK2	SPTA1
MRTFA	ITGB1
EFNB2	TIAM1
PDGFA	GRB2
AP1S2	CD74
FCER1G	CLEC6A
AVPR1A	AVP
FYN	VEGFA
PPP2CA	BANF1
SRC	ITGAV
PIK3CD	GRB2
SMAD4	TRIM33
UFD1	RPA3
RUNX1	MYB
NCBP1	CCNT2
GAB1	MET
GTF2F1	GTF2A1
TGFB1	SMAD2
IL3RA	JAK2
CXADR	JAML
FZD5	WNT5A
GRB2	STAM
TNFRSF10A	CASP8
SHC1	CSK
NCK1	WIPF2
SUMO2	PIAS4
NRG1	PTK6
ACVR1C	GDF1
RPA1	RAD9A
MAP3K7	MAP2K3
POLD1	FEN1
PYGM	GYG1
PTK2	EGFR
GNB1	PLCB1
ATG5	WIPI2
TRAF2	TNFRSF11A
FYN	KIRREL1
SOS1	EREG
PRKACA	GLI2
